/players/A/AbouOd00,RG,ARI,Home,DET,L 3-17,2018-12-09,2018,14,13,70,100.0,0,0.0,2,8.3
/players/A/AbouOd00,RG,ARI,Away,ATL,L 14-40,2018-12-16,2018,15,14,68,100.0,0,0.0,2,6.1
/players/A/AbouOd00,RG,ARI,Home,LAR,L 9-31,2018-12-23,2018,16,15,53,100.0,0,0.0,3,11.5
/players/A/AbouOd00,RG,ARI,Away,SEA,L 24-27,2018-12-30,2018,17,16,66,100.0,0,0.0,4,12.1
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbouOd00,OL,DET,Away,OAK,L 24-31,2019-11-03,2019,9,8,3,4.3,0,0.0,4,15.4
/players/A/AbouOd00,OL,DET,Away,CHI,L 13-20,2019-11-10,2019,10,9,0,0.0,0,0.0,3,10.3
/players/A/AbouOd00,OL,DET,Home,DAL,L 27-35,2019-11-17,2019,11,10,0,0.0,0,0.0,3,10.3
/players/A/AbouOd00,OL,DET,Away,WAS,L 16-19,2019-11-24,2019,12,11,8,10.8,0,0.0,5,16.7
/players/A/AbouOd00,OL,DET,Home,TAM,L 17-38,2019-12-15,2019,15,14,22,34.4,0,0.0,3,10.3
/players/A/AbouOd00,OL,DET,Away,DEN,L 17-27,2019-12-22,2019,16,15,50,100.0,0,0.0,3,11.1
/players/A/AbouOd00,OL,DET,Home,GNB,L 20-23,2019-12-29,2019,17,16,60,100.0,0,0.0,4,12.9
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbouOd00,OL,DET,Home,CHI,L 23-27,2020-09-13,2020,1,1,8,10.3,0,0.0,6,18.2
/players/A/AbouOd00,OL,DET,Away,GNB,L 21-42,2020-09-20,2020,2,2,59,100.0,0,0.0,4,13.3
/players/A/AbouOd00,OL,DET,Away,ARI,W 26-23,2020-09-27,2020,3,3,0,0.0,0,0.0,7,25.0
/players/A/AbouOd00,OL,DET,Home,NOR,L 29-35,2020-10-04,2020,4,4,0,0.0,0,0.0,3,12.0
/players/A/AbouOd00,OL,DET,Away,JAX,W 34-16,2020-10-18,2020,6,5,46,59.7,0,0.0,8,30.8
/players/A/AbouOd00,OL,DET,Away,ATL,W 23-22,2020-10-25,2020,7,6,0,0.0,0,0.0,6,26.1
/players/A/AbouOd00,OL,DET,Home,IND,L 21-41,2020-11-01,2020,8,7,0,0.0,0,0.0,4,13.3
/players/A/AbouOd00,OL,DET,Away,MIN,L 20-34,2020-11-08,2020,9,8,24,32.0,0,0.0,5,16.7
/players/A/AbouOd00,OL,DET,Home,WAS,W 30-27,2020-11-15,2020,10,9,59,100.0,0,0.0,6,19.4
/players/A/AbouOd00,OL,DET,Away,CAR,L 0-20,2020-11-22,2020,11,10,32,57.1,0,0.0,1,4.3
/players/A/AbouOd00,OL,DET,Home,HOU,L 25-41,2020-11-26,2020,12,11,82,100.0,0,0.0,3,10.0
/players/A/AbouOd00,OL,DET,Away,CHI,W 34-30,2020-12-06,2020,13,12,68,100.0,0,0.0,6,20.0
/players/A/AbouOd00,OL,DET,Home,GNB,L 24-31,2020-12-13,2020,14,13,67,100.0,0,0.0,4,15.4
/players/A/AbouOd00,OL,DET,Away,TEN,L 25-46,2020-12-20,2020,15,14,65,100.0,0,0.0,4,15.4
/players/A/AbouOd00,OL,DET,Home,TAM,L 7-47,2020-12-26,2020,16,15,53,100.0,0,0.0,1,3.3
/players/A/AbouOd00,OL,DET,Home,MIN,L 35-37,2021-01-03,2020,17,16,58,100.0,0,0.0,4,13.3
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbraJo01,RG,HOU,Home,IND,W 26-23,2016-10-16,2016,6,6,71,100.0,0,0.0,0,0.0
/players/A/AbraJo01,LG,HOU,Away,IND,W 22-17,2016-12-11,2016,14,13,72,100.0,0,0.0,1,3.8
/players/A/AbraJo01,RG,HOU,Home,JAX,W 21-20,2016-12-18,2016,15,14,83,98.8,0,0.0,0,0.0
/players/A/AbraJo01,G,HOU,Away,TEN,L 17-24,2017-01-01,2016,17,16,42,56.8,0,0.0,3,11.5
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbraJo01,RG,SEA,Away,TEN,L 27-33,2017-09-24,2017,3,3,73,100.0,0,0.0,3,8.3
/players/A/AbraJo01,RG,SEA,Home,IND,W 46-18,2017-10-01,2017,4,4,68,100.0,0,0.0,8,26.7
/players/A/AbraJo01,RG,SEA,Away,LAR,W 16-10,2017-10-08,2017,5,5,68,100.0,0,0.0,4,17.4
/players/A/AbraJo01,RG,SEA,Away,NYG,W 24-7,2017-10-22,2017,7,6,76,100.0,0,0.0,4,15.4
/players/A/AbraJo01,RG,SEA,Home,HOU,W 41-38,2017-10-29,2017,8,7,69,100.0,0,0.0,7,18.4
/players/A/AbraJo01,RG,SEA,Home,WAS,L 14-17,2017-11-05,2017,9,8,83,100.0,0,0.0,3,10.7
/players/A/AbraJo01,RG,SEA,Away,ARI,W 22-16,2017-11-09,2017,10,9,63,100.0,0,0.0,4,13.3
/players/A/AbraJo01,RG,SEA,Home,ATL,L 31-34,2017-11-20,2017,11,10,57,77.0,0,0.0,6,19.4
Player_Address,Pos,Team,Home_Away,Opp,Result,Date,Season,Week,G#,Off_Snaps,Off_Snaps%,Def_Snaps,Def_Snaps%,ST_Snaps,ST_Snaps%
/players/A/AbraJo01,T,ARI,Away,KAN,L 14-26,2018-11-11,2018,10,9,34,46.6,0,0.0,0,0.0
/players/A/AbraJo01,RG,ARI,Home,OAK,L 21-23,2018-11-18,2018,11,10,54,100.0,0,0.0,3,9.1
/players/A/AbraJo01,OL,ARI,Away,LAC,L 10-45,2018-11-25,2018,12,11,0,0.0,0,0.0,3,10.7
/players/A/AbraJo01,RG,ARI,Away,GNB,W 20-17,2018-12-02,2018,13,12,62,100.0,0,0.0,4,12.9
/players/A/AbraJo01,RG,ARI,Home,DET,L 3-17,2018-12-09,2018,14,13,70,100.0,0,0.0,2,8.3
/players/A/AbraJo01,RG,ARI,Away,ATL,L 14-40,2018-12-16,2018,15,14,68,100.0,0,0.0,2,6.1
/players/A/AbraJo01,RG,ARI,Home,LAR,L 9-31,2018-12-23,2018,16,15,53,100.0,0,0.0,3,11.5
/players/A/AbraJo01,RG,ARI,Away,SEA,L 24-27,2018-12-30,2018,17,16,66,100.0,0,0.0,4,12.1
