Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kaleb Eulls,JAX,NYG,2018-09-09,2018,1,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,NWE,2018-09-16,2018,2,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,TEN,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,NYJ,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,KAN,2018-10-07,2018,5,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,DAL,2018-10-14,2018,6,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,HOU,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,PHI,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,IND,2018-11-11,2018,10,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,PIT,2018-11-18,2018,11,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,BUF,2018-11-25,2018,12,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,IND,2018-12-02,2018,13,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,TEN,2018-12-06,2018,14,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,WAS,2018-12-16,2018,15,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,MIA,2018-12-23,2018,16,Injured Reserve,Undisclosed,,
Kaleb Eulls,JAX,HOU,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
