Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jeff Cumberland,LAC,KAN,2016-09-11,2016,1,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,JAX,2016-09-18,2016,2,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,IND,2016-09-25,2016,3,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,NOR,2016-10-02,2016,4,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,OAK,2016-10-09,2016,5,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,DEN,2016-10-13,2016,6,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,ATL,2016-10-23,2016,7,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,DEN,2016-10-30,2016,8,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,TEN,2016-11-06,2016,9,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,MIA,2016-11-13,2016,10,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,HOU,2016-11-27,2016,12,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,TAM,2016-12-04,2016,13,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,CAR,2016-12-11,2016,14,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,OAK,2016-12-18,2016,15,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,CLE,2016-12-24,2016,16,Injured Reserve,Achilles,,
Jeff Cumberland,LAC,KAN,2017-01-01,2016,17,Injured Reserve,Achilles,,
