Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Danielle Hunter,MIN,GNB,2020-09-13,2020,1,Injured Reserve,,,
Danielle Hunter,MIN,IND,2020-09-20,2020,2,Injured Reserve,,,
Danielle Hunter,MIN,TEN,2020-09-27,2020,3,Injured Reserve,,,
Danielle Hunter,MIN,HOU,2020-10-04,2020,4,Injured Reserve,,,
Danielle Hunter,MIN,SEA,2020-10-11,2020,5,Injured Reserve,,,
Danielle Hunter,MIN,ATL,2020-10-18,2020,6,Injured Reserve,,,
Danielle Hunter,MIN,GNB,2020-11-01,2020,8,Injured Reserve,,,
Danielle Hunter,MIN,DET,2020-11-08,2020,9,Injured Reserve,,,
Danielle Hunter,MIN,CHI,2020-11-16,2020,10,Injured Reserve,,,
Danielle Hunter,MIN,DAL,2020-11-22,2020,11,Injured Reserve,,,
Danielle Hunter,MIN,CAR,2020-11-29,2020,12,Injured Reserve,,,
Danielle Hunter,MIN,JAX,2020-12-06,2020,13,Injured Reserve,,,
Danielle Hunter,MIN,TAM,2020-12-13,2020,14,Injured Reserve,,,
Danielle Hunter,MIN,CHI,2020-12-20,2020,15,Injured Reserve,,,
Danielle Hunter,MIN,NOR,2020-12-25,2020,16,Injured Reserve,,,
Danielle Hunter,MIN,DET,2021-01-03,2020,17,Injured Reserve,,,
