Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Garrett Reynolds,LAR,SFO,2016-09-12,2016,1,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,SEA,2016-09-18,2016,2,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,TAM,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,ARI,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,BUF,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,DET,2016-10-16,2016,6,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,NYG,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,CAR,2016-11-06,2016,9,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,NYJ,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,MIA,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,NOR,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,NWE,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,ATL,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,SEA,2016-12-15,2016,15,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,SFO,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Garrett Reynolds,LAR,ARI,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
