Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ryan Brown,ATL,MIN,2019-09-08,2019,1,Injured Reserve,,,
Ryan Brown,ATL,PHI,2019-09-15,2019,2,Injured Reserve,,,
Ryan Brown,ATL,IND,2019-09-22,2019,3,Injured Reserve,,,
Ryan Brown,ATL,TEN,2019-09-29,2019,4,Injured Reserve,,,
Ryan Brown,ATL,HOU,2019-10-06,2019,5,Injured Reserve,,,
Ryan Brown,ATL,ARI,2019-10-13,2019,6,Injured Reserve,,,
Ryan Brown,ATL,LAR,2019-10-20,2019,7,Injured Reserve,,,
Ryan Brown,ATL,SEA,2019-10-27,2019,8,Injured Reserve,,,
Ryan Brown,ATL,NOR,2019-11-10,2019,10,Injured Reserve,,,
Ryan Brown,ATL,CAR,2019-11-17,2019,11,Injured Reserve,,,
Ryan Brown,ATL,TAM,2019-11-24,2019,12,Injured Reserve,,,
Ryan Brown,ATL,NOR,2019-11-28,2019,13,Injured Reserve,,,
Ryan Brown,ATL,CAR,2019-12-08,2019,14,Injured Reserve,,,
Ryan Brown,ATL,SFO,2019-12-15,2019,15,Injured Reserve,,,
Ryan Brown,ATL,JAX,2019-12-22,2019,16,Injured Reserve,,,
