Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kahale Warring,HOU,NOR,2019-09-09,2019,1,Injured Reserve,,,
Kahale Warring,HOU,JAX,2019-09-15,2019,2,Injured Reserve,,,
Kahale Warring,HOU,LAC,2019-09-22,2019,3,Injured Reserve,,,
Kahale Warring,HOU,CAR,2019-09-29,2019,4,Injured Reserve,,,
Kahale Warring,HOU,ATL,2019-10-06,2019,5,Injured Reserve,,,
Kahale Warring,HOU,KAN,2019-10-13,2019,6,Injured Reserve,,,
Kahale Warring,HOU,IND,2019-10-20,2019,7,Injured Reserve,,,
Kahale Warring,HOU,OAK,2019-10-27,2019,8,Injured Reserve,,,
Kahale Warring,HOU,JAX,2019-11-03,2019,9,Injured Reserve,,,
Kahale Warring,HOU,BAL,2019-11-17,2019,11,Injured Reserve,,,
Kahale Warring,HOU,IND,2019-11-21,2019,12,Injured Reserve,,,
Kahale Warring,HOU,NWE,2019-12-01,2019,13,Injured Reserve,,,
Kahale Warring,HOU,DEN,2019-12-08,2019,14,Injured Reserve,,,
Kahale Warring,HOU,TEN,2019-12-15,2019,15,Injured Reserve,,,
Kahale Warring,HOU,TAM,2019-12-21,2019,16,Injured Reserve,,,
Kahale Warring,HOU,TEN,2019-12-29,2019,17,Injured Reserve,,,
Kahale Warring,HOU,CLE,2020-11-15,2020,10,Injured Reserve,,,
