Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
DEN,2016,2016-12-18,4:25,2:25,,NWE,15,14,Sun,L 3-16,,3,16,-13,19,3.0,not covered,43.0,under,25,40,62.5,251,0,1,4,31,73.1,17,58,3.41,0,309,61,5.0656,73,4.2877,3,26:24,2:56,5,49,4,30,9,79,15,4,10,1,12,2,16.7%,1,0,0.0%,0,,,1,1,0,,,7,325,46.43
NYJ,2016,2016-09-25,4:26,3:26,@,KAN,3,3,Sun,L 3-24,,3,24,-21,27,3.0,not covered,44.5,under,20,44,45.5,188,0,6,0,0,18.2,22,117,5.32,0,305,66,4.6212,62,4.7258,8,27:55,2:54,3,15,5,59,8,74,17,6,9,2,14,7,50.0%,2,1,50.0%,0,,,1,1,0,,,2,86,43.00
NYJ,2016,2016-10-17,8:30,5:30,@,ARI,6,6,Mon,L 3-28,,3,28,-25,31,7.0,not covered,45.5,under,20,37,54.1,197,0,2,1,8,47.7,14,33,2.36,0,230,52,4.4231,70,5.6571,2,23:58,3:05,10,83,9,64,19,147,11,2,8,1,13,2,15.4%,2,1,50.0%,0,,,1,1,0,,,7,295,42.14
NYJ,2016,2016-12-24,1:00,1:00,@,NWE,16,15,Sat,L 3-41,,3,41,-38,44,17.0,not covered,45.0,under,8,24,33.3,128,0,3,2,8,13.9,29,111,3.83,0,239,55,4.3455,70,4.6429,4,25:17,2:48,6,77,3,20,9,97,14,7,6,1,11,1,9.1%,3,2,66.7%,0,,,2,1,0,,,4,180,45.00
PIT,2016,2016-09-25,4:25,4:25,@,PHI,3,3,Sun,L 3-34,,3,34,-31,37,-3.5,not covered,46.5,under,24,44,54.5,222,0,1,4,35,62.4,10,29,2.90,0,251,58,4.3276,61,6.9836,2,25:04,2:56,7,77,10,99,17,176,15,2,11,2,11,4,36.4%,2,0,0.0%,0,,,2,1,0,,,3,165,55.00
LAR,2016,2016-12-15,8:25,5:25,@,SEA,15,14,Thu,L 3-24,,3,24,-21,27,15.0,not covered,39.5,under,18,35,51.4,136,0,0,4,31,64.8,17,47,2.76,0,183,56,3.2679,58,5.1552,,27:29,3:12,8,76,13,86,21,162,13,2,8,3,12,3,25.0%,4,0,0.0%,0,,,1,1,0,,,4,216,54.00
SEA,2016,2016-09-18,4:08,1:08,@,LAR,2,2,Sun,L 3-9,,3,9,-6,12,-5.5,not covered,38.0,under,22,35,62.9,239,0,0,2,15,84.7,24,67,2.79,0,306,61,5.0164,58,4.8793,1,30:03,3:04,10,114,9,78,19,192,17,4,10,3,13,4,30.8%,0,0,,0,,,1,1,0,,,7,309,44.14
HOU,2016,2016-09-22,8:26,8:26,@,NWE,3,3,Thu,L 0-27,,0,27,-27,27,0.0,not covered,38.5,under,24,41,58.5,175,0,1,2,21,60.6,27,109,4.04,0,284,70,4.0571,59,4.7797,3,31:22,3:02,6,43,3,15,9,58,19,9,10,0,15,6,40.0%,3,0,0.0%,0,,,,,0,,,6,294,49.00
NWE,2016,2016-10-02,1:02,1:02,,BUF,4,4,Sun,L 0-16,,0,16,-16,16,-3.5,not covered,41.0,under,17,27,63.0,187,0,0,3,18,86.2,22,90,4.09,0,277,52,5.3269,73,5.1781,1,23:49,2:50,9,74,6,60,15,134,13,3,10,0,12,1,8.3%,3,2,66.7%,0,,,1,,0,,,6,311,51.83
LAR,2016,2016-09-12,10:20,7:20,@,SFO,1,1,Mon,L 0-28,,0,28,-28,28,-2.5,not covered,43.0,under,17,35,48.6,120,0,2,2,10,34.2,23,65,2.83,0,185,60,3.0833,77,4.1558,2,27:50,3:05,10,102,2,10,12,112,10,4,6,0,15,3,20.0%,2,1,50.0%,0,,,,,0,,,10,431,43.10
Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,2016,2016-11-27,1:00,12:00,,LAR,12,11,Sun,W 49-21,,49,21,28,70,-8.0,covered,45.0,over,29,37,78.4,346,5,0,2,14,146.8,32,209,6.53,2,555,71,7.8169,52,4.7500,1,35:56,3:08,6,45,6,62,12,107,27,9,17,1,13,6,46.2%,2,2,100.0%,7,7,7,,,0,,,4,179,44.75
ATL,2016,2016-10-02,1:04,1:04,,CAR,4,4,Sun,W 48-33,,48,33,15,81,2.5,covered,48.5,over,28,37,75.7,481,4,1,3,22,142.0,25,90,3.60,1,571,65,8.7846,64,5.9063,1,33:49,3:16,8,77,6,55,14,132,25,7,18,0,13,8,61.5%,0,0,,6,6,6,2,2,0,,,3,158,52.67
NOR,2016,2016-12-18,4:05,2:05,@,ARI,15,14,Sun,W 48-41,,48,41,7,89,3.0,covered,48.5,over,37,48,77.1,358,4,0,3,31,127.9,32,130,4.06,2,488,83,5.8795,56,7.5893,1,37:13,3:21,5,46,7,52,12,98,33,10,20,3,14,9,64.3%,1,1,100.0%,6,6,6,2,2,0,,,1,30,30.00
TEN,2016,2016-11-13,1:00,12:00,,GNB,10,10,Sun,W 47-25,,47,25,22,72,3.0,covered,48.5,over,20,27,74.1,292,5,0,1,13,150.5,31,154,4.97,1,446,59,7.5593,73,5.5068,,29:31,3:36,7,65,12,107,19,172,19,3,13,3,14,7,50.0%,1,0,0.0%,6,5,5,2,2,1,,,4,166,41.50
CAR,2016,2016-09-18,1:03,1:03,,SFO,2,2,Sun,W 46-27,,46,27,19,73,-12.0,covered,44.5,over,24,40,60.0,353,4,1,1,0,111.8,37,176,4.76,0,529,78,6.7821,64,4.7188,4,35:54,3:43,8,50,6,50,14,100,26,8,15,3,15,7,46.7%,0,0,,5,5,4,4,4,0,,,3,123,41.00
ATL,2016,2016-09-26,8:30,7:30,@,NOR,3,3,Mon,W 45-32,,45,32,13,77,2.5,covered,54.0,over,20,30,66.7,225,2,0,2,15,113.2,31,217,7.00,3,442,63,7.0159,79,6.0000,,27:26,3:02,4,35,5,75,9,110,26,11,13,2,11,5,45.5%,2,2,100.0%,6,6,6,1,1,0,,,2,90,45.00
BUF,2016,2016-10-16,1:02,1:02,,SFO,6,6,Sun,W 45-16,,45,16,29,61,-7.5,covered,44.0,over,16,27,59.3,179,2,0,3,0,103.8,44,313,7.11,4,492,74,6.6486,60,5.0000,2,35:11,3:14,7,71,6,52,13,123,29,16,10,3,13,8,61.5%,0,0,,6,6,6,1,1,0,,,3,152,50.67
ATL,2016,2017-01-22,3:05,3:05,,GNB,20,18,Sun,W 44-21,,44,21,23,65,-6.5,covered,59.5,over,27,38,71.1,392,4,0,0,0,139.4,30,101,3.37,2,493,68,7.2500,64,5.7344,,33:39,3:26,4,31,6,63,10,94,30,6,22,2,13,10,76.9%,0,0,,6,6,5,1,1,0,,,2,77,38.50
ARI,2016,2017-01-01,4:25,1:25,@,LAR,17,16,Sun,W 44-6,,44,6,38,50,-7.0,covered,39.0,over,22,42,52.4,260,3,2,1,3,75.8,24,84,3.50,1,344,67,5.1343,57,2.1579,2,27:58,3:12,4,51,9,61,13,112,21,3,15,3,14,4,28.6%,2,1,50.0%,5,5,5,3,3,0,,,4,147,36.75
ATL,2016,2016-11-03,8:25,8:25,@,TAM,9,9,Thu,W 43-28,,43,28,15,71,-4.5,covered,49.0,over,25,34,73.5,325,4,0,2,19,144.7,34,136,4.00,1,461,70,6.5857,70,5.6571,1,33:28,3:15,6,34,11,85,17,119,31,9,20,2,10,6,60.0%,0,0,,5,4,4,3,3,1,,,0,0,
PIT,2016,2016-10-02,8:30,8:30,,KAN,4,4,Sun,W 43-14,,43,14,29,57,-3.0,covered,48.0,over,22,27,81.5,287,5,0,2,13,152.5,26,149,5.73,1,436,55,7.9273,72,4.9583,,29:24,3:12,9,68,7,40,16,108,18,4,13,1,11,6,54.5%,0,0,,6,5,5,,,1,1,,5,211,42.20
SDG,2016,2016-11-06,4:25,1:25,,TEN,9,9,Sun,W 43-35,,43,35,8,78,-3.5,covered,47.5,over,24,33,72.7,268,2,0,1,7,117.6,39,208,5.33,1,476,73,6.5205,62,6.3387,,36:29,3:20,14,107,8,57,22,164,31,10,16,5,11,5,45.5%,0,0,,5,5,4,3,3,0,,,3,140,46.67
ATL,2016,2016-12-11,4:25,1:25,@,LAR,14,13,Sun,W 42-14,,42,14,28,56,-4.5,covered,44.0,over,18,30,60.0,220,3,0,2,17,118.3,25,66,2.64,1,286,57,5.0175,67,4.6567,,27:08,3:12,5,40,11,105,16,145,18,3,12,3,13,4,30.8%,0,0,,6,6,6,,,0,,,8,415,51.88
DAL,2016,2016-12-26,8:30,7:30,,DET,16,15,Mon,W 42-21,,42,21,21,63,-6.5,covered,46.5,over,16,21,76.2,211,4,0,1,11,149.2,30,164,5.47,2,375,52,7.2115,70,4.5571,,29:17,3:05,8,47,5,62,13,109,23,6,14,3,8,4,50.0%,0,0,,6,6,6,,,0,,,4,189,47.25
WAS,2016,2016-11-20,8:30,8:30,,GNB,11,10,Sun,W 42-24,,42,24,18,66,-3.0,covered,48.0,over,21,30,70.0,364,3,0,2,11,145.8,30,151,5.03,3,515,62,8.3065,65,6.5231,,29:37,3:16,6,40,6,59,12,99,21,6,14,1,14,9,64.3%,1,1,100.0%,6,4,3,1,1,2,,,3,114,38.00
ATL,2016,2016-12-18,4:05,4:05,,SFO,15,14,Sun,W 41-13,,41,13,28,54,-13.5,covered,51.5,over,18,24,75.0,302,2,0,1,0,144.4,41,248,6.05,3,550,66,8.3333,55,4.9455,1,36:01,2:54,4,27,4,20,8,47,29,10,17,2,9,5,55.6%,0,0,,5,5,5,2,2,0,,,2,67,33.50
IND,2016,2016-12-05,8:30,8:30,@,NYJ,13,12,Mon,W 41-10,,41,10,31,51,1.0,covered,48.5,over,23,29,79.3,282,4,0,1,7,147.8,40,139,3.48,1,421,70,6.0143,52,4.8077,1,38:24,2:53,3,28,6,90,9,118,27,5,18,4,13,7,53.8%,1,0,0.0%,5,5,5,2,2,0,,,2,95,47.50
ARI,2016,2016-12-18,4:05,2:05,,NOR,15,14,Sun,L 41-48,,41,48,-7,89,-3.0,not covered,48.5,over,28,40,70.0,309,2,0,1,9,110.2,15,116,7.73,3,425,56,7.5893,83,5.8795,2,22:47,3:21,7,52,5,46,12,98,26,7,17,2,10,5,50.0%,1,1,100.0%,6,6,5,1,,0,,,2,68,34.00
NOR,2016,2016-10-16,1:03,12:03,,CAR,6,5,Sun,W 41-38,,41,38,3,79,2.5,covered,53.5,over,34,49,69.4,460,4,1,1,5,118.2,21,63,3.00,1,523,71,7.3662,76,5.3421,1,28:55,3:42,10,126,5,51,15,177,23,3,19,1,16,8,50.0%,1,1,100.0%,5,5,5,3,2,0,,,4,211,52.75
NOR,2016,2016-11-06,4:05,1:05,@,SFO,9,8,Sun,W 41-23,,41,23,18,64,-5.0,covered,53.0,over,28,39,71.8,323,3,0,1,0,122.1,42,248,5.90,2,571,82,6.9634,57,8.5263,,38:53,3:13,4,40,9,78,13,118,29,14,14,1,17,11,64.7%,0,0,,5,5,5,3,2,0,,,4,210,52.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWE,2016,2016-10-30,1:02,1:02,@,BUF,8,8,Sun,W 41-25,,41,25,16,66,-5.5,covered,48.0,over,22,33,66.7,285,4,0,5,30,137.0,23,72,3.13,1,357,61,5.8525,68,5.5294,,29:51,3:17,10,116,12,84,22,200,23,2,15,6,13,9,69.2%,0,0,,5,5,5,2,2,0,,,3,134,44.67
NWE,2016,2016-12-24,1:00,1:00,,NYJ,16,15,Sat,W 41-3,,41,3,38,44,-17.0,covered,45.0,under,18,29,62.1,211,3,0,1,9,119.9,40,114,2.85,2,325,70,4.6429,55,4.3455,,34:43,2:48,3,20,6,77,9,97,21,6,12,3,18,11,61.1%,0,0,,5,5,5,2,2,0,,,4,187,46.75
WAS,2016,2016-12-24,1:00,12:00,@,CHI,16,15,Sat,W 41-21,,41,21,20,62,-3.0,covered,49.0,over,18,29,62.1,270,1,0,0,0,104.1,35,208,5.94,4,478,64,7.4688,67,6.8358,,32:35,3:10,7,73,4,52,11,125,21,10,9,2,13,8,61.5%,1,0,0.0%,5,5,5,2,2,0,,,2,83,41.50
ARI,2016,2016-09-18,1:05,1:05,,TAM,2,2,Sun,W 40-7,,40,7,33,47,-7.5,covered,49.5,under,18,34,52.9,311,3,0,1,4,114.2,30,105,3.50,1,416,65,6.4000,76,4.0263,,29:03,3:12,3,30,5,39,8,69,20,4,15,1,14,6,42.9%,0,0,,5,5,4,2,2,0,,,6,279,46.50
SEA,2016,2016-12-04,8:30,5:30,,CAR,13,12,Sun,W 40-7,,40,7,33,47,-8.0,covered,43.5,over,28,39,71.8,294,1,1,3,21,93.4,29,240,8.28,3,534,71,7.5211,54,5.0185,1,34:01,3:10,6,37,6,63,12,100,29,11,16,2,14,7,50.0%,1,0,0.0%,4,4,4,4,4,0,,,1,41,41.00
DET,2016,2016-09-11,4:27,4:27,@,IND,1,1,Sun,W 39-35,,39,35,4,74,2.5,covered,51.0,over,31,39,79.5,332,3,0,1,8,128.6,24,116,4.83,2,448,64,7.0000,68,6.6176,,30:36,3:25,8,70,5,45,13,115,28,7,20,1,9,5,55.6%,0,0,,5,5,4,1,1,0,,1,4,235,58.75
ATL,2016,2016-11-27,1:00,1:00,,ARI,12,11,Sun,W 38-19,,38,19,19,57,-4.0,covered,49.0,over,26,34,76.5,244,2,1,3,25,106.1,30,116,3.87,3,360,67,5.3731,61,5.4426,1,34:22,3:01,4,23,8,60,12,83,28,8,15,5,9,4,44.4%,1,1,100.0%,5,5,5,1,1,0,,,2,116,58.00
ATL,2016,2017-01-01,4:25,4:25,,NOR,17,16,Sun,W 38-32,,38,32,6,70,-7.5,not covered,58.5,over,27,36,75.0,323,4,0,1,8,139.9,22,142,6.45,1,465,59,7.8814,75,6.3067,,29:45,3:17,9,63,6,70,15,133,25,4,19,2,11,6,54.5%,0,0,,5,5,5,1,1,0,,,4,185,46.25
CAR,2016,2016-10-16,1:03,12:03,@,NOR,6,6,Sun,L 38-41,,38,41,-3,79,-2.5,not covered,53.5,over,27,47,57.4,303,2,1,2,19,83.8,27,103,3.81,3,406,76,5.3421,71,7.3662,2,31:05,3:42,5,51,10,126,15,177,32,9,20,3,11,3,27.3%,1,1,100.0%,5,4,3,1,1,1,1,,5,242,48.40
GNB,2016,2016-12-11,4:25,3:25,,SEA,14,13,Sun,W 38-10,,38,10,28,48,3.0,covered,47.0,over,18,25,72.0,237,3,0,1,9,142.7,30,93,3.10,2,330,56,5.8929,68,5.2059,,28:10,3:11,5,50,7,63,12,113,18,5,10,3,11,4,36.4%,1,0,0.0%,5,5,5,2,1,0,,,4,154,38.50
GNB,2016,2016-12-24,1:00,12:00,,MIN,16,15,Sat,W 38-25,,38,25,13,63,-6.0,covered,44.5,over,28,39,71.8,308,4,0,4,39,133.2,15,40,2.67,1,348,58,6.0000,74,6.0270,,28:59,3:12,3,21,8,70,11,91,19,1,18,0,13,6,46.2%,0,0,,5,5,5,1,1,0,,,6,259,43.17
GNB,2016,2017-01-08,4:40,3:40,,NYG,18,17,Sun,W 38-13,,38,13,25,51,-5.0,covered,46.5,over,25,40,62.5,331,4,0,5,31,125.2,25,75,3.00,1,406,70,5.8000,63,5.7937,,34:31,3:17,2,20,3,42,5,62,23,5,17,1,14,5,35.7%,2,1,50.0%,5,5,5,1,1,0,,,6,252,42.00
JAX,2016,2016-12-24,1:00,1:00,,TEN,16,15,Sat,W 38-17,,38,17,21,55,4.0,covered,44.0,over,27,39,69.2,331,2,0,2,14,113.7,28,84,3.00,1,415,69,6.0145,67,3.9254,1,32:31,3:07,4,45,6,49,10,94,25,6,16,3,12,4,33.3%,0,0,,4,4,2,4,4,0,,,3,143,47.67
MIN,2016,2017-01-01,1:00,3:00,,CHI,17,16,Sun,W 38-10,,38,10,28,48,-6.0,covered,44.0,over,25,34,73.5,250,3,1,0,0,111.2,28,124,4.43,1,374,62,6.0323,59,5.4746,1,30:12,2:47,2,15,6,49,8,64,21,5,15,1,12,6,50.0%,1,0,0.0%,5,5,5,1,1,0,,,2,64,32.00
PIT,2016,2016-09-12,7:11,7:11,@,WAS,1,1,Mon,W 38-16,,38,16,22,54,-2.5,covered,49.0,over,27,37,73.0,290,3,1,1,10,112.4,30,147,4.90,2,437,68,6.4265,55,6.9818,1,33:18,2:56,4,81,9,55,13,136,23,9,14,0,14,9,64.3%,2,2,100.0%,5,5,5,1,1,0,,,2,107,53.50
OAK,2016,2016-12-04,4:05,1:05,,BUF,13,12,Sun,W 38-24,,38,24,14,62,-3.0,covered,48.5,over,19,35,54.3,260,2,0,0,0,97.3,32,139,4.34,2,399,67,5.9552,69,5.5362,,29:45,3:23,7,65,8,73,15,138,24,8,13,3,13,5,38.5%,0,0,,4,3,3,3,3,1,1,,5,221,44.20
BAL,2016,2016-12-04,1:00,1:00,,MIA,13,12,Sun,W 38-6,,38,6,32,44,-3.5,covered,41.5,over,37,50,74.0,386,4,1,0,0,114.2,20,110,5.50,1,496,70,7.0857,58,4.7759,2,29:14,2:54,7,68,7,57,14,125,28,8,20,0,11,5,45.5%,2,2,100.0%,5,5,5,1,1,0,,,3,93,31.00
SDG,2016,2016-09-18,4:25,1:25,,JAX,2,2,Sun,W 38-14,,38,14,24,52,-3.0,covered,47.5,over,17,25,68.0,207,4,0,3,13,135.0,35,150,4.29,1,357,63,5.6667,63,6.1587,1,34:52,3:14,3,23,14,93,17,116,25,10,10,5,13,7,53.8%,0,0,,5,5,5,1,1,0,,,4,173,43.25
KAN,2016,2017-01-01,4:25,1:25,@,SDG,17,16,Sun,W 37-27,,37,27,10,64,-5.5,covered,45.0,over,21,28,75.0,262,2,1,1,2,112.8,31,103,3.32,1,365,60,6.0833,64,6.2188,1,30:48,3:10,4,19,10,50,14,69,26,5,17,4,12,8,66.7%,0,0,,4,4,4,3,3,0,,,1,44,44.00
NYJ,2016,2016-09-15,8:26,8:26,@,BUF,2,2,Thu,W 37-31,,37,31,6,68,1.0,covered,40.5,over,24,34,70.6,370,1,0,1,4,116.5,36,123,3.42,3,493,71,6.9437,50,7.8600,1,39:12,3:13,7,50,6,59,13,109,28,7,18,3,13,8,61.5%,0,0,,4,4,4,3,3,0,,,2,82,41.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAR,2016,2016-09-25,4:05,4:05,@,TAM,3,3,Sun,W 37-32,,37,32,5,69,3.5,covered,40.5,over,14,26,53.8,183,2,1,1,7,87.0,33,137,4.15,2,320,60,5.3333,82,5.7561,2,26:24,4:31,8,69,9,80,17,149,18,8,8,2,13,6,46.2%,0,0,,5,4,4,1,1,1,,,5,256,51.20
SEA,2016,2016-09-25,4:05,1:05,,SFO,3,3,Sun,W 37-18,,37,18,19,55,-10.5,covered,42.0,over,22,32,68.8,291,2,1,2,17,107.3,31,127,4.10,2,418,65,6.4308,56,4.5357,2,35:57,2:59,6,50,4,35,10,85,18,7,10,1,14,9,64.3%,0,0,,4,4,4,3,3,0,,,2,102,51.00
ATL,2016,2017-01-14,4:35,4:35,,SEA,19,17,Sat,W 36-20,,36,20,16,56,-6.5,covered,51.0,over,26,37,70.3,323,3,0,3,15,125.7,29,99,3.41,1,422,69,6.1159,54,5.7222,,33:19,3:15,2,10,7,40,9,50,28,7,19,2,12,6,50.0%,0,0,,4,4,4,2,2,0,,1,3,133,44.33
NWE,2016,2017-01-22,6:40,6:40,,PIT,20,18,Sun,W 36-17,,36,17,19,53,-5.5,covered,50.0,over,32,42,76.2,374,3,0,2,10,127.5,27,57,2.11,1,431,71,6.0704,67,5.4925,,31:26,3:05,2,10,3,19,5,29,26,8,17,1,17,11,64.7%,0,0,,4,4,3,3,3,0,,,2,97,48.50
TEN,2016,2016-10-27,8:26,7:26,,JAX,8,8,Thu,W 36-22,,36,22,14,58,-3.0,covered,43.5,over,19,23,82.6,280,2,0,0,0,146.4,43,214,4.98,2,494,66,7.4848,67,5.5224,,34:25,3:08,7,54,7,75,14,129,25,11,12,2,15,9,60.0%,0,0,,4,4,3,3,3,0,,,4,155,38.75
TAM,2016,2016-11-13,1:00,1:00,,CHI,10,9,Sun,W 36-10,,36,10,26,46,2.5,covered,45.0,over,23,33,69.7,280,2,1,4,32,107.1,31,80,2.58,1,360,68,5.2941,54,5.2407,1,37:09,3:23,9,85,9,74,18,159,22,2,17,3,15,8,53.3%,0,0,,4,4,4,2,2,0,,1,5,214,42.80
ATL,2016,2016-09-18,4:25,1:25,@,OAK,2,2,Sun,W 35-28,,35,28,7,63,4.0,covered,47.5,over,26,34,76.5,389,3,1,1,7,131.5,29,139,4.79,1,528,64,8.2500,71,6.3944,1,27:15,3:17,7,73,9,58,16,131,27,8,18,1,10,5,50.0%,0,0,,4,3,3,2,2,1,1,,3,132,44.00
IND,2016,2016-09-11,4:27,4:27,,DET,1,1,Sun,L 35-39,,35,39,-4,74,-2.5,not covered,51.0,over,31,47,66.0,368,4,0,2,17,119.5,19,82,4.32,0,450,68,6.6176,64,7.0000,,29:24,3:25,5,45,8,70,13,115,25,6,17,2,16,9,56.3%,0,0,,4,3,3,2,2,1,1,,4,195,48.75
DAL,2016,2016-11-06,1:00,1:00,@,CLE,9,8,Sun,W 35-10,,35,10,25,45,-7.0,covered,49.0,under,22,28,78.6,255,3,0,0,0,140.3,42,168,4.00,2,423,70,6.0429,44,5.0455,,39:39,2:49,4,38,5,33,9,71,29,13,15,1,12,8,66.7%,2,2,100.0%,5,5,5,,,0,,,2,75,37.50
DAL,2016,2016-11-13,4:25,4:25,@,PIT,10,9,Sun,W 35-30,,35,30,5,65,3.0,covered,50.5,over,22,32,68.8,295,2,0,2,24,121.7,25,127,5.08,2,422,59,7.1525,66,6.7879,1,30:24,3:18,10,98,4,40,14,138,20,7,11,2,13,7,53.8%,0,0,,4,2,2,3,3,2,,,3,145,48.33
NOR,2016,2016-10-02,4:25,1:25,@,SDG,4,4,Sun,W 35-34,,35,34,1,69,3.5,covered,54.0,over,23,36,63.9,192,2,2,2,15,74.7,34,83,2.44,3,275,72,3.8194,67,5.1642,2,32:39,3:22,6,34,5,46,11,80,21,6,15,0,18,11,61.1%,1,1,100.0%,5,5,5,,,0,,,5,256,51.20
NWE,2016,2016-10-16,1:02,1:02,,CIN,6,6,Sun,W 35-17,,35,17,18,52,-7.5,covered,48.0,over,29,35,82.9,358,3,0,3,18,140.0,23,79,3.43,1,437,61,7.1639,65,5.4923,,27:57,3:03,6,55,7,46,13,101,25,5,17,3,10,4,40.0%,1,1,100.0%,4,4,3,2,2,0,,1,3,133,44.33
NWE,2016,2017-01-01,1:00,1:00,@,MIA,17,16,Sun,W 35-14,,35,14,21,49,-7.5,covered,47.0,over,25,34,73.5,276,3,0,0,0,126.6,29,120,4.14,1,396,63,6.2857,57,4.9123,,31:22,2:53,7,64,9,73,16,137,22,8,12,2,12,7,58.3%,0,0,,4,3,3,3,2,1,1,,3,146,48.67
TEN,2016,2016-11-06,4:25,1:25,@,SDG,9,9,Sun,L 35-43,,35,43,-8,78,3.5,not covered,47.5,over,27,43,62.8,313,3,2,0,0,88.6,19,80,4.21,2,393,62,6.3387,73,6.5205,3,23:31,3:20,8,57,14,107,22,164,24,6,15,3,11,5,45.5%,1,1,100.0%,5,5,5,,,0,,,4,182,45.50
OAK,2016,2016-09-11,1:05,12:05,@,NOR,1,1,Sun,W 35-34,,35,34,1,69,2.5,covered,50.0,over,24,38,63.2,319,1,0,0,0,98.5,26,167,6.42,3,486,64,7.5938,65,7.8000,,30:25,4:23,14,141,7,53,21,194,25,8,14,3,11,4,36.4%,0,0,,4,1,1,2,2,3,2,,4,199,49.75
OAK,2016,2016-11-27,4:25,1:25,,CAR,12,11,Sun,W 35-32,,35,32,3,67,-3.5,not covered,48.5,over,26,39,66.7,310,2,1,1,5,97.7,31,56,1.81,1,366,71,5.1549,56,6.3929,2,33:37,3:19,7,46,7,67,14,113,22,5,15,2,15,8,53.3%,0,0,,4,3,3,2,2,1,1,,5,239,47.80
IND,2016,2016-10-23,1:02,12:02,@,TEN,7,7,Sun,W 34-26,,34,26,8,60,4.0,covered,48.0,over,27,39,69.2,341,3,0,2,12,123.1,24,81,3.38,0,422,65,6.4923,68,4.8676,,32:30,3:21,12,131,6,38,18,169,26,7,16,3,10,4,40.0%,0,0,,4,4,4,2,2,0,,,4,204,51.00
IND,2016,2016-12-18,1:00,3:00,@,MIN,15,14,Sun,W 34-6,,34,6,28,40,5.0,covered,44.5,under,21,28,75.0,250,2,0,0,0,125.6,40,161,4.03,2,411,68,6.0441,56,5.0357,,37:02,2:48,5,55,6,27,11,82,27,9,14,4,13,7,53.8%,1,0,0.0%,4,4,4,2,2,0,,,3,127,42.33
ARI,2016,2016-12-24,4:25,1:25,@,SEA,16,15,Sat,W 34-31,,34,31,3,65,9.0,covered,43.5,over,16,27,59.3,276,1,0,1,8,107.6,29,94,3.24,3,370,57,6.4912,78,5.0128,1,26:18,3:21,7,85,5,40,12,125,21,10,9,2,9,1,11.1%,0,0,,4,4,4,3,2,0,,,5,222,44.40
DEN,2016,2016-09-18,4:25,2:25,,IND,2,2,Sun,W 34-20,,34,20,14,54,-6.0,covered,47.0,over,22,33,66.7,266,0,1,1,0,78.6,31,134,4.32,1,400,65,6.1538,66,3.8333,1,30:41,3:12,8,54,8,94,16,148,24,7,13,4,11,5,45.5%,0,0,,3,2,2,5,4,1,1,,2,98,49.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,2016,2016-09-25,1:02,12:02,,DET,3,3,Sun,W 34-27,,34,27,7,61,-6.0,covered,47.5,over,15,24,62.5,201,4,0,2,4,129.3,24,123,5.13,0,324,50,6.4800,67,6.2388,,24:53,2:54,4,45,4,86,8,131,17,6,9,2,10,5,50.0%,0,0,,4,4,4,2,2,0,,,2,83,41.50
GNB,2016,2017-01-15,4:40,3:40,@,DAL,19,18,Sun,W 34-31,,34,31,3,65,5.5,covered,52.5,over,28,43,65.1,326,2,1,3,29,96.6,17,87,5.12,2,413,63,6.5556,64,6.7031,1,29:46,3:22,3,22,6,50,9,72,27,6,18,3,11,6,54.5%,0,0,,4,4,4,2,2,0,,,3,164,54.67
MIA,2016,2016-12-17,8:25,8:25,@,NYJ,15,14,Sat,W 34-13,,34,13,21,47,-2.5,covered,40.0,over,12,18,66.7,236,4,1,1,0,126.2,27,67,2.48,0,303,46,6.5870,72,5.0000,1,27:28,3:02,9,70,3,42,12,112,13,2,10,1,12,5,41.7%,0,0,,5,5,4,,,0,,,6,257,42.83
